meanEXE	medianEXE	modeEXE	stdEXE	meantestSize	mediantestSize	modetestSize	stdtestSize	fail	complete	aborted
149.20	142.00	113.00	39.83	2.00	2.00	2.00	0.00	0	101	0
141.96	137.00	137.00	45.61	2.00	2.00	2.00	0.00	0	101	0
114.68	98.00	84.00	40.94	2.00	2.00	2.00	0.00	0	101	0
98.80	91.00	72.00	28.05	2.00	2.00	2.00	0.00	0	101	0
79.94	74.00	69.00	16.16	2.00	2.00	2.00	0.00	0	101	0
80.73	76.00	69.00	16.66	2.00	2.00	2.00	0.00	0	101	0
81.69	74.00	67.00	23.24	2.00	2.00	2.00	0.00	0	101	0
48.50	44.00	39.00	13.73	1.00	1.00	1.00	0.00	0	101	0
45.68	42.00	38.00	11.12	1.00	1.00	1.00	0.00	0	101	0
78.43	73.00	67.00	16.81	2.00	2.00	2.00	0.00	0	101	0
85.38	72.00	70.00	66.17	2.00	2.00	2.00	0.00	0	101	0
75.12	69.00	67.00	15.53	2.00	2.00	2.00	0.00	0	101	0
75.12	67.00	63.00	24.21	2.00	2.00	2.00	0.00	0	101	0
92.08	86.00	66.00	32.81	2.00	2.00	2.00	0.00	0	101	0
87.19	80.00	65.00	28.90	2.00	2.00	2.00	0.00	0	101	0
76.36	69.00	65.00	17.49	2.00	2.00	2.00	0.00	0	101	0
78.08	70.00	65.00	25.98	2.00	2.00	2.00	0.00	0	101	0
77.20	70.00	66.00	18.96	2.00	2.00	2.00	0.00	0	101	0
75.18	70.00	65.00	17.66	2.00	2.00	2.00	0.00	0	101	0
75.18	70.00	67.00	17.16	2.00	2.00	2.00	0.00	0	101	0
76.94	70.00	67.00	21.53	2.00	2.00	2.00	0.00	0	101	0
75.35	69.00	65.00	19.12	2.00	2.00	2.00	0.00	0	101	0
79.56	71.00	67.00	19.44	2.00	2.00	2.00	0.00	0	101	0
81.04	70.00	63.00	31.97	2.00	2.00	2.00	0.00	0	101	0
87.47	76.00	66.00	29.55	2.00	2.00	2.00	0.00	0	101	0
44.17	41.00	39.00	18.06	1.00	1.00	1.00	0.00	0	101	0
83.48	75.00	68.00	28.45	2.00	2.00	2.00	0.00	0	101	0
55.08	51.00	45.00	13.50	1.00	1.00	1.00	0.00	0	101	0
79.04	73.00	69.00	15.93	2.00	2.00	2.00	0.00	0	101	0
43.47	41.00	39.00	9.99	1.00	1.00	1.00	0.00	0	101	0
77.80	72.00	66.00	16.58	2.00	2.00	2.00	0.00	0	101	0
45.75	44.00	40.00	8.81	1.00	1.00	1.00	0.00	0	101	0
81.53	74.00	67.00	32.02	2.00	2.00	2.00	0.00	0	101	0
76.83	71.00	65.00	17.01	2.00	2.00	2.00	0.00	0	101	0
80.64	74.00	68.00	16.97	2.00	2.00	2.00	0.00	0	101	0
75.34	70.00	69.00	14.13	2.00	2.00	2.00	0.00	0	101	0
78.00	72.00	74.00	19.47	2.00	2.00	2.00	0.00	0	101	0
101.99	95.00	71.00	37.96	2.00	2.00	2.00	0.00	0	101	0
55.64	42.00	40.00	44.31	1.00	1.00	1.00	0.00	0	101	0
77.53	72.00	68.00	15.45	2.00	2.00	2.00	0.00	0	101	0
42.45	40.00	39.00	7.17	1.00	1.00	1.00	0.00	0	101	0
78.95	73.00	68.00	15.05	2.00	2.00	2.00	0.00	0	101	0
45.51	41.00	40.00	13.65	1.00	1.00	1.00	0.00	0	101	0
80.07	73.00	71.00	25.14	2.00	2.00	2.00	0.00	0	101	0
46.49	41.00	40.00	18.23	1.00	1.00	1.00	0.00	0	101	0
84.01	71.00	69.00	83.89	2.00	2.00	2.00	0.00	0	101	0
68.65	63.00	63.00	16.31	2.00	2.00	2.00	0.00	0	101	0
72.21	65.00	61.00	20.85	2.00	2.00	2.00	0.00	0	101	0
71.71	63.00	60.00	28.25	2.00	2.00	2.00	0.00	0	101	0
