meanEXE	medianEXE	modeEXE	stdEXE	meantestSize	mediantestSize	modetestSize	stdtestSize	fail	complete	aborted
393.93	307.00	247.00	231.74	8.50	6.00	6.00	4.30	0	129	2
429.81	343.00	272.00	235.79	9.24	8.00	6.00	4.74	0	130	1
438.02	352.00	340.00	233.47	9.21	8.00	6.00	4.82	0	128	3
370.58	324.00	250.00	164.91	8.55	8.00	6.00	3.68	0	131	0
368.27	297.00	246.00	182.91	8.40	6.00	6.00	3.94	0	129	2
398.20	321.00	249.00	201.53	9.18	8.00	6.00	4.77	0	129	2
421.34	314.00	260.00	235.70	9.18	6.00	6.00	4.97	0	129	2
391.56	291.00	247.00	205.32	8.53	6.00	6.00	4.07	0	130	1
398.04	310.00	256.00	192.43	8.43	6.00	6.00	3.96	0	130	1
413.08	346.00	273.00	188.74	8.61	6.00	6.00	3.91	0	131	0
422.12	390.00	283.00	167.52	8.78	8.00	6.00	3.43	0	131	0
410.27	328.00	227.00	248.33	9.25	8.00	6.00	4.87	0	129	2
383.31	312.00	241.00	178.68	8.81	8.00	6.00	3.87	0	130	1
396.86	324.00	244.00	213.55	8.98	6.00	6.00	4.83	0	128	3
411.05	344.00	274.00	201.98	9.19	8.00	6.00	4.12	0	131	0
384.32	300.00	263.00	203.30	8.67	6.00	6.00	4.34	0	130	1
410.33	347.00	284.00	190.84	9.13	8.00	6.00	4.54	0	130	1
404.92	301.00	257.00	209.52	8.72	6.00	6.00	4.23	0	130	1
396.00	330.00	270.00	191.23	8.43	6.00	6.00	4.05	0	129	2
416.15	330.00	272.00	249.66	9.21	6.00	6.00	5.21	0	128	3
374.55	326.00	234.00	173.53	8.60	8.00	6.00	3.88	0	130	1
392.47	306.00	227.00	234.67	9.19	6.00	6.00	4.61	0	113	0
386.26	313.00	336.00	221.84	9.03	6.00	6.00	4.30	0	101	0
358.61	310.00	205.00	189.21	8.79	6.00	6.00	4.35	0	100	1
373.41	308.00	200.00	208.92	8.85	6.00	6.00	4.38	0	100	1
382.31	302.00	232.00	228.55	9.45	6.00	6.00	5.39	0	99	2
347.79	295.00	215.00	195.51	8.87	6.00	6.00	4.49	0	100	1
236.55	201.00	132.00	111.37	5.76	5.00	4.00	2.61	0	101	0
227.50	160.00	132.00	193.02	5.76	4.00	4.00	4.79	0	100	1
85.40	76.00	70.00	21.25	2.00	2.00	2.00	0.00	0	101	0
299.22	273.00	179.00	130.55	7.57	7.00	5.00	3.15	0	101	0
297.02	256.00	164.00	157.50	7.44	5.00	5.00	3.81	0	101	0
280.08	237.00	191.00	131.54	7.21	5.00	5.00	3.12	0	101	0
369.93	286.00	191.00	222.63	9.56	8.00	6.00	5.28	0	100	1
224.98	162.00	148.00	160.76	5.74	4.00	4.00	4.47	0	99	2
83.62	78.00	70.00	17.30	2.00	2.00	2.00	0.00	0	101	0
340.62	270.00	216.00	181.13	8.71	6.00	6.00	4.60	0	100	1
363.76	306.00	199.00	181.63	9.45	8.00	6.00	4.55	0	101	0
299.69	245.00	169.00	153.51	7.61	7.00	5.00	3.91	0	101	0
350.17	309.00	198.00	171.89	8.67	8.00	6.00	3.31	0	101	0
307.12	256.00	173.00	157.06	7.91	7.00	5.00	4.25	0	101	0
288.59	235.00	173.00	137.03	7.36	5.00	5.00	3.37	0	101	0
331.96	268.00	200.00	170.22	8.81	6.00	6.00	4.29	0	100	1
314.18	275.00	205.00	125.12	8.30	6.00	6.00	3.19	0	101	0
362.75	285.00	197.00	226.56	9.41	8.00	6.00	5.63	0	97	4
356.05	279.00	207.00	192.69	9.05	6.00	6.00	4.79	0	100	1
374.87	316.00	217.00	195.96	9.21	8.00	6.00	4.34	0	100	1
333.19	288.00	207.00	143.77	8.38	6.00	6.00	3.34	0	101	0
357.54	300.00	208.00	176.35	9.09	8.00	6.00	4.36	0	100	1
350.82	305.00	201.00	158.07	9.15	8.00	6.00	4.07	0	101	0
341.69	270.00	261.00	178.18	8.50	6.00	6.00	4.20	0	100	1
372.38	336.00	207.00	174.92	9.07	8.00	6.00	4.02	0	101	0
365.00	297.00	264.00	211.70	8.67	6.00	6.00	4.38	0	100	1
345.65	296.00	214.00	156.50	8.77	8.00	6.00	3.64	0	101	0
374.84	345.00	207.00	180.74	9.76	8.00	6.00	4.72	0	100	1
334.81	278.00	299.00	167.61	8.83	6.00	6.00	4.73	0	99	2
364.25	330.00	202.00	186.91	9.19	8.00	6.00	4.17	0	101	0
380.99	288.00	207.00	230.28	9.33	6.00	6.00	5.21	0	99	2
353.33	274.00	197.00	200.60	8.81	6.00	6.00	4.68	0	99	2
337.91	269.00	214.00	189.58	8.26	6.00	6.00	3.68	0	101	0
343.67	284.00	216.00	170.97	8.34	6.00	6.00	3.62	0	101	0
232.64	192.00	148.00	116.33	5.41	4.00	4.00	2.40	0	101	0
257.93	191.00	153.00	156.52	6.09	5.00	4.00	3.31	0	101	0
473.93	368.00	212.00	406.65	10.44	8.00	6.00	6.24	0	96	5
268.36	237.00	174.00	156.89	6.32	5.00	4.00	3.61	0	100	1
359.58	323.00	217.00	158.91	8.73	8.00	6.00	3.77	0	101	0
49.54	46.00	46.00	10.39	1.00	1.00	1.00	0.00	0	101	0
373.01	350.00	209.00	179.67	9.43	8.00	6.00	4.38	0	101	0
348.89	302.00	226.00	145.85	8.93	8.00	6.00	3.28	0	101	0
202.81	164.00	163.00	97.73	4.95	4.00	4.00	2.46	0	101	0
266.35	179.00	141.00	194.18	6.48	4.00	4.00	5.06	0	100	1
347.12	296.00	217.00	151.30	7.96	6.00	6.00	3.40	0	100	1
253.31	185.00	154.00	153.71	6.06	4.00	4.00	4.12	0	101	0
90.82	84.00	77.00	19.09	2.00	2.00	2.00	0.00	0	101	0
309.91	247.00	187.00	168.10	7.28	5.00	5.00	3.44	0	101	0
319.01	286.00	187.00	149.29	7.62	7.00	5.00	3.57	0	101	0
361.38	309.00	277.00	179.41	8.87	8.00	6.00	3.80	0	100	1
329.36	260.00	181.00	179.24	8.07	7.00	5.00	4.41	0	100	1
346.46	280.00	217.00	195.64	8.48	6.00	6.00	4.65	0	100	1
347.15	292.00	183.00	215.97	8.01	7.00	5.00	3.53	0	101	0
299.22	264.00	185.00	148.56	7.35	7.00	5.00	3.62	0	101	0
357.80	313.00	215.00	168.77	8.83	8.00	6.00	4.16	0	100	1
305.96	269.00	186.00	139.71	7.42	7.00	5.00	3.07	0	101	0
356.96	309.00	226.00	172.65	8.83	8.00	6.00	4.22	0	100	1
308.83	266.00	184.00	144.86	7.66	7.00	5.00	3.49	0	101	0
305.79	248.00	192.00	161.25	7.39	5.00	5.00	3.54	0	101	0
280.35	255.00	185.00	110.58	6.77	5.00	5.00	2.60	0	101	0
376.94	354.00	308.00	169.73	9.11	8.00	6.00	3.66	0	101	0
284.77	256.00	187.00	112.29	7.02	5.00	5.00	2.80	0	101	0
375.55	304.00	220.00	208.44	9.15	8.00	6.00	4.79	0	99	2
357.37	291.00	232.00	173.19	8.18	6.00	6.00	2.72	0	101	0
418.00	316.00	221.00	289.08	10.06	8.00	6.00	5.72	0	98	3
